Scenario,Description,Regimen,EKFC,Distribution ID,Distribution,Base Joint CFR,Scenario Joint CFR,Base category,Scenario category,Base toxicity,Scenario toxicity,Toxicity gate changed
AVI_CT_6,AVI threshold = 6 mg/L,R8,31–60,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",89.20433333333331,74.77916666666667,ACCEPTABLE,LOW,9.62,9.62,NO
AVI_CT_6,AVI threshold = 6 mg/L,R10,61–90,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",87.42915567282323,72.06052770448551,ACCEPTABLE,LOW,10.665,10.665,NO
AVI_CT_6,AVI threshold = 6 mg/L,R10,61–90,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",86.91703389830509,71.54074152542373,ACCEPTABLE,LOW,10.665,10.665,NO
AVI_CT_6,AVI threshold = 6 mg/L,R10,61–90,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",84.93959558823529,69.8780882352941,ACCEPTABLE,LOW,10.665,10.665,NO
AVI_CT_6,AVI threshold = 6 mg/L,R10,61–90,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",88.12991666666667,72.48983333333332,ACCEPTABLE,LOW,10.665,10.665,NO
AVI_CT_6,AVI threshold = 6 mg/L,R12,91–120,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",87.49072559366755,71.65300791556729,ACCEPTABLE,LOW,11.82,11.82,NO
AVI_CT_6,AVI threshold = 6 mg/L,R12,91–120,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",86.93947033898306,71.11504237288135,ACCEPTABLE,LOW,11.82,11.82,NO
AVI_CT_6,AVI threshold = 6 mg/L,R12,91–120,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",84.95058823529412,69.45569852941178,ACCEPTABLE,LOW,11.82,11.82,NO
AVI_CT_6,AVI threshold = 6 mg/L,R12,91–120,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",88.13366666666667,72.045,ACCEPTABLE,LOW,11.82,11.82,NO
AVI_CT_6,AVI threshold = 6 mg/L,R13,121–150,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",80.39358333333334,60.63991666666667,ACCEPTABLE,LOW,7.045,7.045,NO
TOX_80,CAZ toxicity threshold = 80 mg/L,R8,31–60,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",88.41282321899736,88.41282321899736,ACCEPTABLE,ACCEPTABLE,9.62,18.915000000000003,YES
TOX_80,CAZ toxicity threshold = 80 mg/L,R8,31–60,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",87.95485169491526,87.95485169491526,ACCEPTABLE,ACCEPTABLE,9.62,18.915000000000003,YES
TOX_80,CAZ toxicity threshold = 80 mg/L,R8,31–60,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",85.96338235294118,85.96338235294118,ACCEPTABLE,ACCEPTABLE,9.62,18.915000000000003,YES
TOX_80,CAZ toxicity threshold = 80 mg/L,R8,31–60,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",89.20433333333331,89.20433333333331,ACCEPTABLE,ACCEPTABLE,9.62,18.915000000000003,YES
TOX_80,CAZ toxicity threshold = 80 mg/L,R10,61–90,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",87.42915567282323,87.42915567282323,ACCEPTABLE,ACCEPTABLE,10.665,20.43,YES
TOX_80,CAZ toxicity threshold = 80 mg/L,R10,61–90,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",86.91703389830509,86.91703389830509,ACCEPTABLE,ACCEPTABLE,10.665,20.43,YES
TOX_80,CAZ toxicity threshold = 80 mg/L,R10,61–90,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",84.93959558823529,84.93959558823529,ACCEPTABLE,ACCEPTABLE,10.665,20.43,YES
TOX_80,CAZ toxicity threshold = 80 mg/L,R10,61–90,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",88.12991666666667,88.12991666666667,ACCEPTABLE,ACCEPTABLE,10.665,20.43,YES
TOX_80,CAZ toxicity threshold = 80 mg/L,R12,91–120,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",87.49072559366755,87.49072559366755,ACCEPTABLE,ACCEPTABLE,11.82,22.33,YES
TOX_80,CAZ toxicity threshold = 80 mg/L,R12,91–120,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",86.93947033898306,86.93947033898306,ACCEPTABLE,ACCEPTABLE,11.82,22.33,YES
TOX_80,CAZ toxicity threshold = 80 mg/L,R12,91–120,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",84.95058823529412,84.95058823529412,ACCEPTABLE,ACCEPTABLE,11.82,22.33,YES
TOX_80,CAZ toxicity threshold = 80 mg/L,R12,91–120,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",88.13366666666667,88.13366666666667,ACCEPTABLE,ACCEPTABLE,11.82,22.33,YES
