Scenario,Description,Regimen,EKFC,Dose g,Interval h,Distribution ID,Distribution,CAZ CFR %,AVI weighted %,Joint CFR %,Δ Joint CFR pp,Joint PTA MIC4 %,Δ MIC4 pp,Toxicity %,Δ Toxicity pp,Origin class,Transformation,Review state
CAZ_CL_HIGH,CAZ typical clearance +20%,R1,0–30,0.625,12,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",93.2726838235294,74.22000000000001,71.23378676470588,-0.20849264705883286,58.79,-7.634999999999998,7.180000000000001,-2.2399999999999993,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R1,0–30,0.625,12,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",97.00983333333333,74.22,73.94633333333333,-0.1430000000000149,58.79,-7.634999999999998,7.180000000000001,-2.2399999999999993,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R8,31–60,2.5,12,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",97.42204485488126,89.22500000000001,88.0021240105541,-0.4106992084432619,84.815,-3.1700000000000017,5.57,-4.049999999999999,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R8,31–60,2.5,12,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",97.85,89.22500000000001,87.81656779661017,-0.13828389830509025,84.815,-3.1700000000000017,5.57,-4.049999999999999,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R8,31–60,2.5,12,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",95.85911764705881,89.22500000000001,85.86694852941177,-0.09643382352940932,84.815,-3.1700000000000017,5.57,-4.049999999999999,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R8,31–60,2.5,12,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.54924999999999,89.22499999999998,89.15074999999999,-0.05358333333332155,84.815,-3.1700000000000017,5.57,-4.049999999999999,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R10,61–90,2.5,8,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",97.68405013192613,88.14,87.08695250659632,-0.34220316622690916,85.135,-2.3999999999999915,6.21,-4.454999999999999,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R10,61–90,2.5,8,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",97.9776271186441,88.14000000000003,86.79995762711866,-0.11707627118643416,85.135,-2.3999999999999915,6.21,-4.454999999999999,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R10,61–90,2.5,8,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",95.94238970588235,88.13999999999999,84.85867647058824,-0.08091911764705628,85.135,-2.3999999999999915,6.21,-4.454999999999999,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R10,61–90,2.5,8,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.62616666666666,88.14,88.08991666666667,-0.04000000000000625,85.135,-2.3999999999999915,6.21,-4.454999999999999,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
