Policy,Policy description,Regimen,EKFC,Distribution ID,Distribution,Draws,P(Joint CFR ≥90),P(Joint CFR ≥80),P(Toxicity ≤15),P(Joint ≥80 and Toxicity ≤15)
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R10,61–90,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,0,0.16,0.7466666666666667,0.11
POLICY_BASE,CAZ target 4; AVI CT 4,R12,91–120,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0.26666666666666666,0.9566666666666667,0.66,0.63
POLICY_BASE,CAZ target 4; AVI CT 4,R12,91–120,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0.25666666666666665,0.95,0.66,0.6266666666666667
POLICY_BASE,CAZ target 4; AVI CT 4,R12,91–120,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0.13333333333333333,0.8733333333333333,0.66,0.5733333333333334
POLICY_BASE,CAZ target 4; AVI CT 4,R12,91–120,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,0.3433333333333333,0.9666666666666667,0.66,0.6333333333333333
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R12,91–120,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.66,0.66
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R12,91–120,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.66,0.66
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R12,91–120,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,1,1,0.66,0.66
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R12,91–120,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,1,1,0.66,0.66
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R12,91–120,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0,0.14,0.66,0.08
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R12,91–120,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0,0.12,0.66,0.07333333333333333
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R12,91–120,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0,0.06,0.66,0.04
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R12,91–120,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,0,0.16,0.66,0.09333333333333334
POLICY_LENIENT,CAZ target 2; AVI CT 2,R12,91–120,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.66,0.66
POLICY_LENIENT,CAZ target 2; AVI CT 2,R12,91–120,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.66,0.66
POLICY_LENIENT,CAZ target 2; AVI CT 2,R12,91–120,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,1,1,0.66,0.66
POLICY_LENIENT,CAZ target 2; AVI CT 2,R12,91–120,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,1,1,0.66,0.66
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R12,91–120,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0,0.11,0.66,0.06666666666666667
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R12,91–120,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0,0.10666666666666667,0.66,0.07
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R12,91–120,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0,0.06,0.66,0.04
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R12,91–120,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,0,0.15,0.66,0.08666666666666667
POLICY_BASE,CAZ target 4; AVI CT 4,R13,121–150,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0.023333333333333334,0.4766666666666667,0.9366666666666666,0.44
POLICY_BASE,CAZ target 4; AVI CT 4,R13,121–150,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0.016666666666666666,0.4666666666666667,0.9366666666666666,0.43333333333333335
POLICY_BASE,CAZ target 4; AVI CT 4,R13,121–150,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0.0033333333333333335,0.34,0.9366666666666666,0.32666666666666666
POLICY_BASE,CAZ target 4; AVI CT 4,R13,121–150,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,0.06,0.5233333333333333,0.9366666666666666,0.48333333333333334
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R13,121–150,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.9366666666666666,0.9366666666666666
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R13,121–150,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.9366666666666666,0.9366666666666666
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R13,121–150,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0.94,1,0.9366666666666666,0.9366666666666666
POLICY_AVI_LOW,CAZ target 4; AVI CT 2,R13,121–150,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,1,1,0.9366666666666666,0.9366666666666666
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R13,121–150,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0,0,0.9366666666666666,0
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R13,121–150,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0,0,0.9366666666666666,0
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R13,121–150,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0,0,0.9366666666666666,0
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R13,121–150,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,0,0,0.9366666666666666,0
POLICY_LENIENT,CAZ target 2; AVI CT 2,R13,121–150,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.9366666666666666,0.9366666666666666
POLICY_LENIENT,CAZ target 2; AVI CT 2,R13,121–150,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.9366666666666666,0.9366666666666666
POLICY_LENIENT,CAZ target 2; AVI CT 2,R13,121–150,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0.96,1,0.9366666666666666,0.9366666666666666
POLICY_LENIENT,CAZ target 2; AVI CT 2,R13,121–150,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,1,1,0.9366666666666666,0.9366666666666666
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R13,121–150,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0,0,0.9366666666666666,0
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R13,121–150,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0,0,0.9366666666666666,0
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R13,121–150,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0,0,0.9366666666666666,0
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R13,121–150,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,0,0,0.9366666666666666,0
