ekfc_class,regimen,mic_mg_l,metric,mean,sd,min,max,range_pp
91–120,R12,4,CAZ PTA,94.296,0.17980545041794901,94.08999999999999,94.54,0.45000000000001705
91–120,R12,4,AVI attainment,88.26500000000001,0.25428822229902864,87.845,88.48,0.6350000000000051
91–120,R12,4,Joint PTA,87.94800000000001,0.23665903743572128,87.58,88.16000000000001,0.5800000000000125
91–120,R12,4,Toxicity,12.013,0.30974989911217105,11.52,12.31,0.7900000000000009
91–120,R12,8,CAZ PTA,67.79499999999999,0.26823497162003,67.515,68.195,0.6799999999999926
91–120,R12,8,AVI attainment,88.26500000000001,0.25428822229902864,87.845,88.48,0.6350000000000051
91–120,R12,8,Joint PTA,67.734,0.26240236279424023,67.45,68.125,0.6749999999999972
91–120,R12,8,Toxicity,12.013,0.30974989911217105,11.52,12.31,0.7900000000000009
121–150,R13,4,CAZ PTA,90.40899999999999,0.24411575123289644,90.07,90.715,0.6450000000000102
121–150,R13,4,AVI attainment,80.747,0.5509151477314838,80.08999999999999,81.435,1.345000000000013
121–150,R13,4,Joint PTA,80.381,0.5390199439723887,79.75999999999999,81.08999999999999,1.3299999999999983
121–150,R13,4,Toxicity,7.039,0.18246232487831554,6.765000000000001,7.21,0.4449999999999994
121–150,R13,8,CAZ PTA,57.10799999999999,0.5255663611762077,56.455,57.845,1.3900000000000006
121–150,R13,8,AVI attainment,80.747,0.5509151477314838,80.08999999999999,81.435,1.345000000000013
121–150,R13,8,Joint PTA,57.010000000000005,0.5404974560532169,56.335,57.775,1.4399999999999977
121–150,R13,8,Toxicity,7.039,0.18246232487831554,6.765000000000001,7.21,0.4449999999999994
