model,bsv,regimen,ekfc_class,dose_g,interval_h,mic_mg_l,caz_pta_pct,avi_attainment_pct,joint_pta_pct,toxicity_pct,limiting_component
M1_Cojutti_2024,structural,R11,91–120,2.5,8,0.0625,100.0,78.125,78.125,5.005,avibactam
M1_Cojutti_2024,structural,R11,91–120,2.5,8,0.125,100.0,78.125,78.125,5.005,avibactam
M1_Cojutti_2024,structural,R11,91–120,2.5,8,0.25,100.0,78.125,78.125,5.005,avibactam
M1_Cojutti_2024,structural,R11,91–120,2.5,8,0.5,99.995,78.125,78.125,5.005,avibactam
M1_Cojutti_2024,structural,R11,91–120,2.5,8,1,99.955,78.125,78.125,5.005,avibactam
M1_Cojutti_2024,structural,R11,91–120,2.5,8,2,98.80499999999999,78.125,78.125,5.005,avibactam
M1_Cojutti_2024,structural,R11,91–120,2.5,8,4,87.095,78.125,77.46,5.005,avibactam
M1_Cojutti_2024,structural,R11,91–120,2.5,8,8,50.68,78.125,50.654999999999994,5.005,ceftazidime
M1_Cojutti_2024,structural,R11,91–120,2.5,8,16,13.345,78.125,13.345,5.005,ceftazidime
M1_Cojutti_2024,structural,R11,91–120,2.5,8,32,1.24,78.125,1.24,5.005,ceftazidime
M1_Cojutti_2024,structural,R11,91–120,2.5,8,64,0.015,78.125,0.015,5.005,ceftazidime
M1_Cojutti_2024,structural,R12,91–120,2.5,6,0.0625,100.0,88.41499999999999,88.41499999999999,12.19,avibactam
M1_Cojutti_2024,structural,R12,91–120,2.5,6,0.125,100.0,88.41499999999999,88.41499999999999,12.19,avibactam
M1_Cojutti_2024,structural,R12,91–120,2.5,6,0.25,100.0,88.41499999999999,88.41499999999999,12.19,avibactam
M1_Cojutti_2024,structural,R12,91–120,2.5,6,0.5,100.0,88.41499999999999,88.41499999999999,12.19,avibactam
M1_Cojutti_2024,structural,R12,91–120,2.5,6,1,99.99,88.41499999999999,88.41499999999999,12.19,avibactam
M1_Cojutti_2024,structural,R12,91–120,2.5,6,2,99.71,88.41499999999999,88.41499999999999,12.19,avibactam
M1_Cojutti_2024,structural,R12,91–120,2.5,6,4,94.54,88.41499999999999,88.045,12.19,avibactam
M1_Cojutti_2024,structural,R12,91–120,2.5,6,8,68.195,88.41499999999999,68.125,12.19,ceftazidime
M1_Cojutti_2024,structural,R12,91–120,2.5,6,16,26.029999999999998,88.41499999999999,26.029999999999998,12.19,ceftazidime
M1_Cojutti_2024,structural,R12,91–120,2.5,6,32,3.7249999999999996,88.41499999999999,3.7249999999999996,12.19,ceftazidime
M1_Cojutti_2024,structural,R12,91–120,2.5,6,64,0.19499999999999998,88.41499999999999,0.19499999999999998,12.19,ceftazidime
M1_Cojutti_2024,structural,R13,121–150,2.5,6,0.0625,100.0,81.19,81.19,7.21,avibactam
M1_Cojutti_2024,structural,R13,121–150,2.5,6,0.125,100.0,81.19,81.19,7.21,avibactam
M1_Cojutti_2024,structural,R13,121–150,2.5,6,0.25,100.0,81.19,81.19,7.21,avibactam
M1_Cojutti_2024,structural,R13,121–150,2.5,6,0.5,100.0,81.19,81.19,7.21,avibactam
M1_Cojutti_2024,structural,R13,121–150,2.5,6,1,99.985,81.19,81.19,7.21,avibactam
M1_Cojutti_2024,structural,R13,121–150,2.5,6,2,99.205,81.19,81.19,7.21,avibactam
M1_Cojutti_2024,structural,R13,121–150,2.5,6,4,90.55499999999999,81.19,80.77499999999999,7.21,avibactam
M1_Cojutti_2024,structural,R13,121–150,2.5,6,8,57.330000000000005,81.19,57.230000000000004,7.21,ceftazidime
M1_Cojutti_2024,structural,R13,121–150,2.5,6,16,17.51,81.19,17.51,7.21,ceftazidime
M1_Cojutti_2024,structural,R13,121–150,2.5,6,32,2.03,81.19,2.03,7.21,ceftazidime
M1_Cojutti_2024,structural,R13,121–150,2.5,6,64,0.055,81.19,0.055,7.21,ceftazidime
M2_Chen_2025,structural,R1,0–30,0.625,12,0.0625,100.0,74.205,74.205,6.23,avibactam
M2_Chen_2025,structural,R1,0–30,0.625,12,0.125,100.0,74.205,74.205,6.23,avibactam
M2_Chen_2025,structural,R1,0–30,0.625,12,0.25,100.0,74.205,74.205,6.23,avibactam
M2_Chen_2025,structural,R1,0–30,0.625,12,0.5,99.995,74.205,74.205,6.23,avibactam
