rho_scenario,target_scenario,regimen,ekfc_class,joint_cfr_median,joint_cfr_p2.5,joint_cfr_p97.5,prediction_interval_width_pp,p_permissible_pct,p_joint_cfr_ge_80_pct
C2_model1,T2_point_4,R5,31–60,42.54,29.88,51.81,21.93,99.9,0.0
C2_model1,T2_point_4,R6,31–60,57.88,48.33,71.6,23.27,99.2,0.1
C2_model1,T2_point_4,R7,31–60,78.31,65.03,91.35,26.32,93.0,40.3
C2_model1,T2_point_4,R8,31–60,87.9,73.47,96.92,23.46,72.2,86.7
C2_model1,T2_point_4,R9,61–90,71.45,60.57,85.92,25.35,96.0,11.8
C2_model1,T2_point_4,R10,61–90,86.87,72.99,97.09,24.09,69.0,82.2
C2_model1,T2_point_4,R11,91–120,78.1,65.02,91.92,26.9,90.6,40.0
C2_model1,T2_point_4,R12,91–120,88.21,74.18,97.57,23.39,62.4,87.5
C2_model1,T2_point_4,R13,121–150,78.33,63.71,93.99,30.28,86.4,41.6
C2_model1,T3_discrete,R1,0–30,90.66,62.63,96.66,34.04,81.9,70.6
C2_model1,T3_discrete,R2,0–30,95.39,77.23,98.66,21.44,34.2,94.4
C2_model1,T3_discrete,R5,31–60,83.31,34.16,91.91,57.75,99.7,59.9
C2_model1,T3_discrete,R6,31–60,89.35,50.97,95.74,44.77,99.1,66.3
C2_model1,T3_discrete,R7,31–60,94.83,67.75,98.37,30.63,93.8,79.5
C2_model1,T3_discrete,R8,31–60,97.05,77.32,99.11,21.79,72.4,95.3
C2_model1,T3_discrete,R9,61–90,94.01,62.77,98.09,35.32,95.7,70.1
C2_model1,T3_discrete,R10,61–90,97.27,76.79,99.17,22.39,68.7,94.4
C2_model1,T3_discrete,R11,91–120,95.92,68.37,98.76,30.4,89.7,79.0
C2_model1,T3_discrete,R12,91–120,97.72,78.05,99.28,21.23,64.0,96.2
C2_model1,T3_discrete,R13,121–150,96.25,67.32,98.95,31.63,85.5,79.7
C2_model1,T4_uniform,R1,0–30,86.33,67.79,95.91,28.12,81.3,74.8
C2_model1,T4_uniform,R2,0–30,93.77,79.99,98.41,18.42,32.6,97.5
C2_model1,T4_uniform,R5,31–60,69.22,41.19,90.21,49.02,99.9,27.3
C2_model1,T4_uniform,R6,31–60,81.22,56.51,94.91,38.4,99.1,52.8
