rho_scenario,target_scenario,ekfc_class,regimen,p_optimal_pct,is_fixed_threshold_choice,mean_utility
C2_model1,T3_discrete,31–60,R6,22.4,no,78.31
C2_model1,T3_discrete,31–60,R7,42.6,no,84.22
C2_model1,T3_discrete,31–60,R8,34.7,yes,82.88
C2_model1,T3_discrete,61–90,R9,63.5,no,82.61
C2_model1,T3_discrete,61–90,R10,36.5,yes,82.12
C2_model1,T3_discrete,91–120,R11,68.9,no,83.76
C2_model1,T3_discrete,91–120,R12,31.1,yes,81.54
C2_model1,T3_discrete,121–150,R13,100.0,yes,82.78
C2_model1,T4_uniform,0–30,R1,49.4,no,74.12
C2_model1,T4_uniform,0–30,R2,50.6,yes,74.39
C2_model1,T4_uniform,31–60,R5,0.1,no,66.95
C2_model1,T4_uniform,31–60,R6,10.9,no,77.03
C2_model1,T4_uniform,31–60,R7,55.4,no,84.09
C2_model1,T4_uniform,31–60,R8,33.7,yes,82.81
C2_model1,T4_uniform,61–90,R9,53.4,no,82.24
C2_model1,T4_uniform,61–90,R10,46.6,yes,82.09
C2_model1,T4_uniform,91–120,R11,74.4,no,83.69
C2_model1,T4_uniform,91–120,R12,25.7,yes,81.49
C2_model1,T4_uniform,121–150,R13,100.0,yes,82.79
C2_model1,T5_triangular,0–30,R1,67.3,no,77.32
C2_model1,T5_triangular,0–30,R2,32.6,yes,76.13
C2_model1,T5_triangular,31–60,R5,0.1,no,74.25
C2_model1,T5_triangular,31–60,R6,17.2,no,82.38
C2_model1,T5_triangular,31–60,R7,63.9,no,86.86
C2_model1,T5_triangular,31–60,R8,18.8,yes,84.39
C2_model1,T5_triangular,61–90,R9,73.5,no,85.95
C2_model1,T5_triangular,61–90,R10,26.6,yes,83.81
C2_model1,T5_triangular,91–120,R11,89.0,no,86.55
C2_model1,T5_triangular,91–120,R12,11.0,yes,83.07
C2_model1,T5_triangular,121–150,R13,100.0,yes,85.66
C2_model1,T6_lognormal,0–30,R1,74.1,no,77.53
C2_model1,T6_lognormal,0–30,R2,25.9,yes,75.93
C2_model1,T6_lognormal,31–60,R5,0.2,no,76.31
C2_model1,T6_lognormal,31–60,R6,23.7,no,82.89
C2_model1,T6_lognormal,31–60,R7,58.4,no,86.5
